店鋪所在縣市,店鋪名稱,店鋪地址,店鋪電話
新北市,力行,新北市三重區忠孝路二段107號,(02)29849484
台南市,勝利,台南市東區勝利路157號,(06)2367417
台中市,勤益,台中市太平區中山路一段215巷1號,(04)23919289
桃園市,北埔,桃園市桃園區中正路513號,(03)3316084
新竹市,北大,新竹市北區西大路558號,(03)5278463
新北市,北大二,新北市樹林區大雅路279號,(02)26688386
台北市,北投,台北市北投區光明路223號,(02)28964701
台北市,北投二,台北市北投區中和街319號,(02)28957295
彰化縣,北斗,彰化縣北斗鎮中華路261號,(04)8888117
雲林縣,北港,雲林縣北港鎮民主路98號,(05)7825108
澎湖縣,北辰,澎湖縣馬公市中華路59-2號,(06)9269149
苗栗縣,卓蘭,苗栗縣卓蘭鎮中正路101號,(04)25895185
台北市,南二,台北市松山區南京東路五段64號,(02)27631237
台北市,南京東,台北市中山區南京東路三段125號,(02)25015861
台北市,南京西,台北市中山區南京西路3-2號,(02)25217716
新北市,南勢角,新北市中和區景新街420號,(02)29442078
新竹市,南大,新竹市東區南大路317號,(03)5610923
台北市,南寧,台北市松山區南京東路四段131號,(02)27132659
新竹市,南寮,新竹市北區東大路四段1號,(03)5367715
台中市,南屯,台中市南屯區南屯路二段391號,(04)23812670
台北市,南山,台北市大安區通化街37號,(02)27064707
桃園市,南崁,桃園市蘆竹區南崁路200號,(03)3129627
南投縣,南投,南投縣南投市復興路137號,(049)2234178
南投縣,南投2,南投縣南投市彰南路二段26號,(049)2245216
桃園市,南昌,桃園市蘆竹區南昌路242號,(03)3129879
台南市,南民,台南市中西區民族路三段287號,(06)2209300
桃園市,南竹,桃園市蘆竹區南竹路一段60號,(03)2121069
高雄市,南華,高雄市新興區林森一路166號,(07)2418931
台北市,南西二,台北市大同區南京西路42號,(02)25581050
台南市,南西門,台南市南區西門路一段665號,(06)2201721
桃園市,南門,桃園市桃園區南華街107號,(03)3313849
台北市,南陽,台北市中正區南陽街15號,(02)23110661
新北市,南雅,新北市板橋區南雅南路一段27號,(02)29686093
台南市,南青,台南市中西區青年路148號,(06)2288074
台南市,友愛,台南市中西區國華街二段159號,(06)2259141
台中市,台中,台中市中區繼光街88號,(04)22239369
台北市,台安,台北市松山區八德路二段406號,(02)27118985
台東縣,台東,台東縣台東市正氣路171號,(089)325036
台東縣,台東二,台東縣成功鎮中華路63號,(089)855071
高雄市,右昌,高雄市左營區後昌路651號,(07)3645687
高雄市,右昌2,高雄市楠梓區右昌街146號,(07)3635697
花蓮縣,吉安,花蓮縣吉安鄉中華路二段340號,(03)8541020
南投縣,名間,南投縣名間鄉南雅街100號,(049)2735103
台中市,后里,台中市后里區甲后路一段447號,(04)25588013
台中市,向陽,台中市豐原區向陽路269號,(04)25201910
台北市,吳興,台北市信義區吳興街225號,(02)27229927
嘉義市,吳鳳南,嘉義市東區吳鳳南路300號,(05)2305171
台北市,和平,台北市大安區和平東路二段55號,(02)27001139
台北市,和平三,台北市信義區和平東路三段433號,(02)23772717
台北市,和平東,台北市大安區和平東路一段29號,(02)23215970
彰化縣,和美,彰化縣和美鎮中山路163號,(04)7574369
台南市,和順,台南市安南區安和路四段502號,(06)3566206
彰化縣,員中,彰化縣員林市中正路197號,(04)8377798
彰化縣,員二,彰化縣員林市民權街6號,(04)8359146
新北市,員山,新北市中和區員山路198號,(02)22281245
台南市,善化,台南市善化區中正路440號,(06)5833522
台南市,嘉南,台南市仁德區二仁路一段165號,(06)2663211
嘉義市,嘉文,嘉義市東區文化路116號,(05)2163507
嘉義市,嘉新,嘉義市東區新生路798號,(05)2710561
嘉義市,嘉樂,嘉義市西區博愛路二段461號,(05)2863351
嘉義市,嘉民,嘉義市西區民族路455號,(05)2271036
嘉義市,嘉義2,嘉義市西區中山路379號,(05)2236952
新北市,四川,新北市板橋區忠孝路25號,(02)89642131
新北市,四維,新北市板橋區四維路257號,(02)22506004
台中市,國光,台中市大里區國光路二段702號,(04)24820746
新北市,國慶,新北市板橋區國慶路183號,(02)29568969
新北市,土城,新北市土城區學府路一段109號,(02)22706583
新北市,土城2,新北市土城區中央路二段169號,(02)82629870
台北市,城中,台北市中正區重慶南路一段56號,(02)23825935
宜蘭縣,城東,宜蘭縣宜蘭市舊城東路28-3號,(03)9354733
新北市,埔墘,新北市板橋區中山路二段188號,(02)29526540
桃園市,埔心,桃園市楊梅區中興路34號,(03)4317721
南投縣,埔里,南投縣埔里鎮南盛街120號,(049)2900963
南投縣,埔里2,南投縣埔里鎮中正路463號,(049)2990607
基隆市,基隆,基隆市仁愛區忠一路8號,(02)24291139
屏東縣,墾丁,屏東縣恆春鎮墾丁路212號,(08)8856947
桃園市,壢新,桃園市中壢區新生路182號,(03)4221490
桃園市,壢春,桃園市中壢區長春路1號,(03)4637704
桃園市,壢運,桃園市中壢區中正路99號,(03)4276511
台北市,士捷,台北市士林區中正路243號,(02)88613257
台北市,士東,台北市士林區士東路134號,(02)28313276
台北市,士林,台北市士林區中正路285號,(02)28830443
台南市,大同,台南市東區大同路二段57號,(06)2130286
桃園市,大園,桃園市大園區中正東路12號,(03)3859675
新北市,大坪林,新北市新店區民權路55號,(02)29115165
彰化縣,大埔,彰化縣彰化市大埔路592號,(04)7115161
高雄市,大寮,高雄市大寮區鳳林三路330號,(07)7867812
高雄市,大昌,高雄市三民區大昌二路114號,(07)3821427
嘉義縣,大林,嘉義縣大林鎮中正路429號,(05)2641603
基隆市,大武崙,基隆市安樂區基金一路172-1號,(02)24301923
台南市,大灣,台南市永康區大灣路273號,(06)2720785
台中市,大甲,台中市大甲區蔣公路7號,(04)26800660
台北市,大直,台北市中山區北安路520-4號,(02)25326627
高雄市,大社,高雄市大社區中山路365號,(07)3524938
桃園市,大竹,桃園市蘆竹區大竹路515號,(03)3132605
台中市,大肚,台中市大肚區沙田路二段753號,(04)26998109
桃園市,大興西,桃園市桃園區大興西路二段39號,(03)3150722
台中市,大里,台中市大里區中興路二段470號,(04)24864562
台中市,大雅,台中市大雅區中清東路197號,(04)25693053
台北市,天北,台北市士林區天母北路6號,(02)28755036
台北市,天東,台北市士林區天母東路32號,(02)28747501
高雄市,天祥,高雄市三民區天祥一路171號,(07)3464505
嘉義縣,太保,嘉義縣太保市中山路一段293號,(05)2383019
台中市,太平,台中市太平區太平路472-1號,(04)22752103
台中市,太平二,台中市太平區中興路121號,(04)22730489
桃園市,奉化,桃園市蘆竹區奉化路75號,(03)2120535
新北市,學勤,新北市三峽區大學路150-2號,(02)26716120
台中市,學士,台中市北區健行路449-1號,(04)22066001
台南市,學甲,台南市學甲區濟生路142號,(06)7836406
基隆市,安一,基隆市安樂區安一路115號,(02)24255034
台南市,安中,台南市安南區安中路一段799號,(06)2559550
台北市,安居,台北市大安區安居街27號,(02)23770391
新北市,安康,新北市新店區安康路二段198號,(02)86661830
基隆市,安樂,基隆市安樂區安樂路二段159號,(02)24348436
高雄市,宏平,高雄市小港區宏平路130號,(07)8025914
新北市,宜安,新北市中和區宜安路148號,(02)29229690
宜蘭縣,宜蘭,宜蘭縣宜蘭市中山路三段23號,(03)9358595
新北市,富國,新北市新莊區富國路26號,(02)29032889
高雄市,察哈爾,高雄市三民區博愛一路225號,(07)3227489
台北市,實踐,台北市中山區大直街43號,(02)25339482
台北市,寧夏,台北市大同區寧夏路9號,(02)25589598
台北市,寧波,台北市中正區寧波西街46號,(02)23959463
桃園市,寶山,桃園市桃園區寶山街273號,(03)3258397
高雄市,小港,高雄市小港區漢民路283號,(07)8065922
屏東縣,屏師,屏東縣屏東市林森路23-3號,(08)7220523
屏東縣,屏東,屏東縣屏東市民生路301-1號,(08)7651040
屏東縣,屏東4,屏東縣屏東市中山路65號,(08)7342944
屏東縣,屏生,屏東縣屏東市民生路43號,(08)7220821
高雄市,岡山,高雄市岡山區壽天路111號,(07)6225416
台北市,崇光,台北市大安區忠孝東路四段15號,(02)27773807
台南市,崇市,台南市東區崇德路367號,(06)3364437
台中市,崇德,台中市北屯區崇德路二段65號,(04)22325893
台中市,崇德2,台中市北屯區崇德二路一段97號,(04)22420573
台南市,崇義,台南市東區崇德路646號,(06)2689423
高雄市,崇高,高雄市左營區崇德路385號,(07)3489525
桃園市,崎頂,桃園市大溪區介壽路848號,(03)3906771
台中市,嶺東,台中市南屯區永春南路52號,(04)23822735
高雄市,左營,高雄市左營區左營大路290號,(07)5810410
台北市,師大,台北市大安區師大路43號,(02)23696928
桃園市,平和,桃園市平鎮區和平路172號,(03)4581476
桃園市,平鎮,桃園市平鎮區南豐路28-3號,(03)4692876
桃園市,平鎮二,桃園市平鎮區文化街82號,(03)4950272
新北市,幸福,新北市新莊區幸福路700號,(02)89913294
台北市,康樂,台北市內湖區康樂街116-4號,(02)26337815
台南市,康華,台南市永康區中華路409號,(06)3025282
基隆市,廟口,基隆市仁愛區愛四路76號,(02)24227492
高雄市,廣州,高雄市苓雅區廣州一街141-3號,(07)7139231
屏東縣,廣東,屏東縣屏東市廣東路615號,(08)7375485
台北市,延三,台北市大同區延平北路三段33號,(02)25851060
台北市,延二,台北市士林區延平北路六段2號,(02)28117391
台北市,延吉,台北市松山區延吉街7號,(02)25785120
新北市,延和,新北市土城區延和路170號,(02)22635768
台北市,延平,台北市士林區延平北路五段268號,(02)28127287
高雄市,建國,高雄市苓雅區正義路136號,(07)7498307
新北市,建成,新北市汐止區建成路48號,(02)86910218
高雄市,建興,高雄市三民區建興路224號,(07)3890498
彰化縣,彰化,彰化縣彰化市和平路15號,(04)7228983
彰化縣,彰化三,彰化縣彰化市三民路265號,(04)7275055
彰化縣,彰南,彰化縣彰化市彰南路一段417號,(04)7371216
彰化縣,彰民,彰化縣彰化市民族路273號,(04)7222785
高雄市,後庄,高雄市大寮區鳳屏一路281號,(07)7013519
苗栗縣,後龍,苗栗縣後龍鎮中北街70-3號,(037)720990
新北市,得勝,新北市蘆洲區得勝街157號,(02)82821076
新北市,得和,新北市永和區得和路399號,(02)32336792
台中市,復中,台中市南區台中路64號,(04)22252631
台北市,復北,台北市中山區復興北路60號,(02)87733068
台中市,復站,台中市東區復興路四段217號,(04)22242033
台北市,復興,台北市松山區南京東路三段259號,(02)27175324
台南市,復華,台南市永康區復國一路317號,(06)2026663
台北市,德明,台北市內湖區內湖路一段279號,(02)26272503
高雄市,德民,高雄市楠梓區德民路977號,(07)3637718
台北市,德行,台北市士林區德行東路224號,(02)28384697
台北市,德行東,台北市士林區德行東路110號,(02)88662151
台北市,德行西,台北市士林區德行西路78號,(02)28312305
高雄市,德賢,高雄市楠梓區德賢路193號,(07)3610030
台北市,忠五,台北市信義區忠孝東路五段494號,(02)27282651
台北市,忠孝東,台北市大安區忠孝東路四段339號,(02)27523211
台中市,忠民,台中市南區忠明南路797號,(04)22601806
屏東縣,恆春,屏東縣恆春鎮中正路75號,(08)8883275
台南市,成功,台南市東區長榮路二段171號,(06)2081715
台北市,政大,台北市文山區指南路二段123號,(02)86617940
新北市,文中,新北市新店區文中路8號,(02)89145828
台北市,文林,台北市士林區文林路130號,(02)28838569
高雄市,文橫,高雄市前鎮區文橫三路190號,(07)3384749
台中市,文華,台中市西屯區西屯路二段269-50號,(04)27061235
雲林縣,斗六,雲林縣斗六市民生路156號,(05)5350923
雲林縣,斗南,雲林縣斗南鎮中山路70號,(05)5964400
新北市,新七張,新北市新店區北新路二段79號,(02)89118171
台北市,新中坡,台北市南港區忠孝東路五段974號,(02)26537935
桃園市,新中正,桃園市桃園區中正路56號,(03)3370517
台南市,新化,台南市新化區信義路213-1號,(06)5900561
台南市,新北門,台南市東區北門路一段294號,(06)2293819
台北市,新南京,台北市中山區南京東路二段50號,(02)25612417
台北市,新古亭,台北市中正區南昌路二段70號,(02)23650210
新北市,新台五,新北市汐止區新台五路一段161號,(02)86919364
桃園市,新台茂,桃園市蘆竹區南崁路一段112號,(03)2123119
新北市,新和,新北市新莊區中和街2號,(02)29981678
高雄市,新坎城,高雄市三民區自由一路105號,(07)3111035
台中市,新塗城,台中市大里區成功路536號,(04)24910690
台中市,新大墩,台中市南屯區大墩路556號,(04)23285571
桃園市,新大有,桃園市桃園區大有路511號,(03)3261321
桃園市,新大溪,桃園市大溪區慈湖路89號,(03)3870157
台北市,新威秀,台北市信義區松壽路20號,(02)27221120
桃園市,新屋,桃園市新屋區中山路235號,(03)4777255
高雄市,新崛江,高雄市新興區文橫二路149-1號,(07)2011682
台南市,新市,台南市新市區仁愛街318號,(06)5894050
台中市,新平,台中市太平區中山路三段121號,(04)22774441
新北市,新店,新北市新店區中正路156號,(02)29175110
新竹縣,新新埔,新竹縣新埔鎮中正路217號,(03)5881335
桃園市,新明,桃園市中壢區新明路41號,(03)2810961
新北市,新智光,新北市永和區中正路101號,(02)29400835
新北市,新板文,新北市板橋區文化路一段407號,(02)22557152
新北市,新樹林,新北市樹林區中山路一段116號,(02)26750268
新竹市,新民,新竹市東區民生路194號,(03)5317871
新北市,新泰二,新北市新莊區新泰路55號,(02)22056836
新北市,新海,新北市板橋區新海路150號,(02)22556826
台南市,新營,台南市新營區延平路2號,(06)6350502
台北市,新生,台北市中正區新生南路一段104號,(02)23577916
彰化縣,新田中,彰化縣田中鎮田州路一段152號,
新北市,新福,新北市新莊區幸福路524號,(02)89918215
新竹市,新竹,新竹市東區文昌街6號,(03)5224191
新竹縣,新竹北,新竹縣竹北市博愛街359號,(03)6566715
花蓮縣,新花中2,花蓮縣花蓮市中正路523號,(03)8314972
苗栗縣,新苑裡,苗栗縣苑裡鎮中山路123號,(037)853291
新北市,新莊,新北市新莊區新泰路132號,(02)22779861
桃園市,新藝文,桃園市桃園區南平路332號,(03)3580504
新竹縣,新豐,新竹縣新豐鄉建興路一段19號,(03)5598408
高雄市,新阿蓮,高雄市阿蓮區中山路73號,(07)6316031
台中市,新霧峰,台中市霧峰區中正路841號,(04)23398580
桃園市,新龍安,桃園市桃園區龍安街140號,(03)2171507
高雄市,旗山,高雄市旗山區延平一路617號,(07)6626138
高雄市,旗津,高雄市旗津區通山路18號,(07)5721661
彰化縣,旭光,彰化縣彰化市旭光路255號,(04)7262105
台北市,昆陽,台北市南港區忠孝東路六段440號,(02)27863315
台中市,昌平,台中市北屯區昌平路一段157號,(04)22469731
高雄市,明哲,高雄市三民區明哲路1號,(07)3414000
新北市,景安,新北市中和區景平路353號,(02)82455907
台北市,景美2,台北市文山區景興路195號,(02)86637926
基隆市,暖暖,基隆市暖暖區暖暖街181號,(02)24580239
台北市,木新,台北市文山區木新路三段119號,(02)29381692
台北市,木柵,台北市文山區興隆路三段53號,(02)29335422
台北市,木柵3,台北市文山區木柵路三段59號,(02)29368635
台南市,本淵,台南市安南區安中路三段416號,(06)2554988
嘉義縣,朴子,嘉義縣朴子市八德路10號,(05)3708162
台中市,東勢,台中市東勢區豐勢路264、266號,(04)25874674
台中市,東山,台中市北屯區東山路一段250號,(04)24350201
台東縣,東欣,台東縣台東市新生路195號,(089)336116
台中市,東海,台中市龍井區新興路2號,(04)26317931
屏東縣,東港,屏東縣東港鎮中山路59號,(08)8353746
台北市,東湖,台北市內湖區東湖路31號,(02)26313452
台北市,東興,台北市松山區南京東路5段301號,(02)27660301
台北市,松二,台北市信義區松山路564號,(02)27270714
台北市,松山,台北市松山區八德路四段725號,(02)27477253
台北市,松江,台北市中山區松江路287號,(02)25030603
新北市,板七,新北市板橋區中正路222號,(02)29651995
新北市,板中,新北市板橋區中山路一段19號,(02)29588148
新北市,板金,新北市板橋區金門街286號,(02)26817002
屏東縣,枋寮,屏東縣枋寮鄉中山路156號,(08)8783165
新北市,林口,新北市林口區中正路103號,(02)26017289
新北市,林口三,新北市林口區仁愛路二段247號,(02)26082153
新北市,林口二,新北市林口區文化二路一段152號,(02)26069635
高雄市,林園,高雄市林園區東林西路29號,(07)6419896
台北市,林森,台北市中山區林森北路380號,(02)25678964
台北市,林森北,台北市中山區林森北路131號,(02)21001905
桃園市,桃中,桃園市桃園區中平路84號,(03)2201361
桃園市,桃園,桃園市桃園區中正路146號,(03)3392025
桃園市,桃鶯,桃園市八德區桃鶯路53號,(03)3661961
桃園市,桃鶯2,桃園市桃園區桃鶯路253號,(03)3759118
台中市,梧棲,台中市梧棲區文化路二段202號,(04)26568197
桃園市,楊梅,桃園市楊梅區大成路109號,(03)4851554
台中市,楓樹,台中市南屯區黎明路一段153號,(04)24792867
高雄市,楠梓,高雄市楠梓區建楠路156號,(07)3524242
高雄市,楠梓二,高雄市楠梓區後昌路123號,(07)3663279
基隆市,樂利,基隆市安樂區樂利三街100號,(02)24326390
新北市,樂華,新北市永和區永和路一段164號,(02)86603208
新北市,樹二,新北市樹林區博愛一街9號,(02)26843712
新北市,樹林3,新北市樹林區中華路267號,(02)86862920
高雄市,橋頭,高雄市橋頭區隆豐路201號,(07)6117337
新北市,正義,新北市三重區正義北路179號,(02)89883488
高雄市,武廟,高雄市苓雅區福德二路20之1號,(07)7231224
台北市,武昌,台北市萬華區武昌街二段37號,(02)23889107
台北市,武昌二,台北市萬華區武昌街二段81號,(02)23120967
台南市,歸仁,台南市歸仁區中山路一段579號,(06)3304466
新北市,民安,新北市新莊區民安路188巷6號,(02)22063719
新北市,民安西,新北市新莊區民安西路228號,(02)22025028
台北市,民捷,台北市中山區民權西路64號,(02)25236742
新北市,民族,新北市蘆洲區民族路59號,(02)22825326
台北市,民權,台北市松山區民權東路三段136號,(02)27192207
新北市,民治,新北市板橋區民治街123號,(02)22510923
台北市,民環,台北市松山區民生東路五段188號,(02)27473649
台北市,民生,台北市松山區民生東路四段60號,(02)27127194
台北市,民生西,台北市大同區民生西路231號,(02)25506831
嘉義縣,民雄,嘉義縣民雄鄉昇平路1-1號,(05)2061045
嘉義縣,水上,嘉義縣水上鄉中興路388號,(05)2680073
台中市,水湳,台中市北屯區中清路二段216號,(04)22958710
新竹市,水田,新竹市北區水田街111號,(03)5317850
南投縣,水里,南投縣水里鄉民生路433號,(049)2775076
台北市,永信,台北市大安區永康街2號,(02)33932318
台北市,永吉,台北市信義區忠孝東路五段165巷1號,(02)27619306
新北市,永和,新北市永和區永和路二段209號,(02)29290930
新北市,永安,新北市永和區中和路515號,(02)89210752
台南市,永康,台南市永康區中正路988號,(06)2536822
台中市,永福,台中市西屯區永福路137號,(04)24612895
台南市,永華,台南市安平區永華路二段815號,(06)2970125
彰化縣,永靖,彰化縣永靖鄉瑚璉路187號,(04)8234849
新北市,汐止,新北市汐止區中興路168號,(02)26932804
新北市,汐止2,新北市汐止區忠孝東路267號,(02)86464582
新北市,汐福,新北市汐止區福德一路89號,(02)26958512
新北市,汐科,新北市汐止區新台五路一段93號(iFG遠雄購物中心B1),(02)86916235
台中市,沙田,台中市沙鹿區中正街55號,(04)26632747
台中市,沙鹿,台中市沙鹿區中山路246號,(04)26629925
台中市,河南,台中市南屯區河南路四段502號,(04)23825506
新北市,泰仁,新北市泰山區仁愛路83號,(02)22963235
新北市,泰山,新北市泰山區明志路三段184號,(02)29049742
新北市,泰林,新北市泰山區泰林路二段185號,(02)85311170
台南市,海佃,台南市安南區海佃路一段162號,(06)3587268
桃園市,海華,桃園市中壢區慈惠三街156號,(03)4272511
新北市,淡水,新北市淡水區英專路46號,(02)26237815
新北市,淡江,新北市淡水區北新路182巷5號,(02)26268072
新北市,淡海,新北市淡水區中山北路一段48號,(02)86313236
新北市,深坑,新北市深坑區北深路三段177號,(02)26644262
基隆市,深溪,基隆市信義區深溪路192號,(02)24665291
台中市,清水,台中市清水區中山路126-7號,(04)26221918
新竹市,清華,新竹市東區光復路二段338號,(03)5730716
台北市,港墘,台北市內湖區內湖路一段737巷37號,(02)87519149
新竹縣,湖中,新竹縣湖口鄉中華路108號,(03)5985122
新竹縣,湖口,新竹縣湖口鄉中正路一段19號,(03)6992411
新北市,溪尾,新北市三重區溪尾街185號,(02)29811275
彰化縣,溪湖,彰化縣溪湖鎮彰水路三段298號,(04)8822413
新北市,溪漧,新北市蘆洲區三民路75號,(02)82867151
台北市,漢中,台北市萬華區漢中街131號,(02)23830121
台中市,漢口,台中市北區漢口路三段184號,(04)22913199
新北市,漢生,新北市中和區中山路三段191號,(02)22237955
高雄市,漢神,高雄市苓雅區成功一路239-6號,(07)2156728
台中市,潭子,台中市潭子區勝利路213號,(04)25344902
屏東縣,潮州,屏東縣潮州鎮新生路54號,(08)7899175
屏東縣,潮州2,屏東縣潮州鎮延平路98號,(08)7898500
高雄市,澄和,高雄市三民區澄和路129號,(07)3905728
澎湖縣,澎湖,澎湖縣馬公市中正路26號,(06)9269942
高雄市,灣中,高雄市三民區灣中街341號,(07)3801760
台中市,烏日,台中市烏日區興祥街46號,(04)23369167
台中市,特易發,台中市西屯區青海路二段207-18號B1,(04)24519125
花蓮縣,玉里,花蓮縣玉里鎮中山路一段209號,(03)8888462
高雄市,瑞北,高雄市前鎮區瑞北路52號,(07)7521215
新北市,瑞芳,新北市瑞芳區明燈路三段62號,(02)24966192
高雄市,瑞豐,高雄市鼓山區裕誠路1087號,(07)5552893
高雄市,瑞隆,高雄市前鎮區瑞隆路436號,(07)7131906
桃園市,環東,桃園市中壢區環中東路216號,(03)4623305
台南市,白河,台南市白河區中山路32-2號,(06)6857258
基隆市,百福,基隆市七堵區百三街83號,(02)24513028
台北市,知行,台北市北投區知行路222號,(02)28581591
台北市,石牌,台北市北投區石牌路二段76號,(02)28236841
台北市,磺港,台北市北投區磺港路8號,(02)28978578
宜蘭縣,礁溪,宜蘭縣礁溪鄉德陽路12號,(03)9870059
彰化縣,社頭,彰化縣社頭鄉社斗路一段205號,(04)8727139
宜蘭縣,神農,宜蘭縣宜蘭市神農路一段79號,(03)9313661
桃園市,福州,桃園市中壢區福州一街250號,(03)4352070
台北市,福德,台北市信義區福德街191號,(02)27276826
台中市,福星,台中市西屯區福星北路5號,(04)27080765
新北市,秀山,新北市永和區民權路53號,(02)89434370
台北市,科技,台北市大安區復興南路二段205號,(02)27052963
新竹市,站前,新竹市東區中正路5號,(03)5224136
新竹市,竹光,新竹市東區光復路一段180號,(03)5781189
新竹縣,竹勝,新竹縣竹北市勝利二路38號,(03)6682396
苗栗縣,竹南,苗栗縣竹南鎮博愛街73號,(037)475298
新北市,竹圍,新北市淡水區民族路10號,(02)28095602
南投縣,竹山,南投縣竹山鎮集山路三段959號,(049)2653080
新竹縣,竹東,新竹縣竹東鎮東寧路三段103號,(03)5957063
新北市,竹林,新北市永和區竹林路231號,(02)89261274
新竹市,竹科,新竹市東區金山街21號,(03)5799150
台中市,精武,台中市東區精武東路105號,(04)22120275
台中市,精誠,台中市西區精誠路154號,(04)23102438
台中市,精誠二,台中市西屯區精誠路18號,(04)23231215
台北市,統領,台北市大安區忠孝東路四段209號,(02)27788160
桃園市,縣府,桃園市桃園區縣府路314號,(03)3344997
新竹縣,縣政,新竹縣竹北市光明六路89號,(03)5588858
台北市,羅二,台北市中正區羅斯福路四段58號,(02)23696435
宜蘭縣,羅東,宜蘭縣羅東鎮興東路6號,(03)9569820
宜蘭縣,羅民,宜蘭縣羅東鎮民生路30號,(03)9563978
宜蘭縣,羅站,宜蘭縣羅東鎮公正路66號,(03)9559920
台中市,美南,台中市南區美村南路78號,(04)22651634
台中市,美村,台中市西區美村路一段686號,(04)23726190
台中市,美村二,台中市西區美村路一段22號,(04)23230890
高雄市,美濃,高雄市美濃區中正路一段42號,(07)6818515
花蓮縣,美琪,花蓮縣花蓮市中正路388號,(03)8355521
桃園市,義勇,桃園市八德區義勇街140號,(03)2180481
高雄市,義大,高雄市大樹區學城路一段12號,(07)6569016
新北市,耕莘,新北市新店區中正路348號,(02)29103441
台北市,臥龍,台北市大安區和平東路二段365號,(02)23255321
台北市,臨江,台北市大安區光復南路704號,(02)27007561
台北市,自強,台北市北投區自強街88號,(02)28202156
高雄市,自由3,高雄市左營區自由三路210號,(07)3417360
高雄市,興中,高雄市苓雅區興中一路377號,(07)3317291
台中市,興大,台中市南區學府路3號,(04)22854422
